,unique_gal_id,true_redshift_gal,theta,phi,ra,dec,m1,m2,eta,Mc,iota,psi,tcoal,Phicoal,chi1z,chi2z
40,38239299,0.50596,0.7678770292495374,0.0032818006092786,0.0032818006092786,0.8029192975453592,9.270751957889935,2.970536068897568,0.1837788621609073,4.430007399407895,1.3759282750693962,4.857992081109183,0.8693164494068103,3.679511615828535,0.0438078971858878,0.0338411553225924
41,228755295,0.92108,1.2221855530365373,0.6298859788674639,0.6298859788674639,0.3486107737583592,9.702031698639516,2.990496131608135,0.1800983299056336,4.537889701330581,1.7994145722100696,0.5792154978611062,0.484842974089021,4.532624881495836,0.0003226292849682,-0.0361470462014007
42,502473521,0.73125,1.316080598185585,0.8967140248174399,0.8967140248174399,0.2547157286093116,9.159568520339157,2.972492415706159,0.1849807794379361,4.407684963465957,2.236174639032106,5.111102704899691,0.8042113618660384,4.264720076775749,-0.0406181524501992,0.0023345310566547
43,78474983,0.45673,0.5647803628959225,0.5777375760412388,0.5777375760412388,1.006015963898974,31.26782869314608,4.989409287780617,0.1186745027717902,10.092741954774729,1.3206551731885816,4.152559079885158,0.1053206196930864,1.3843343737231333,0.0070386460877159,-0.0072818208791195
44,216912079,0.81665,0.967247513542472,1.103148739127219,1.103148739127219,0.6035488132524245,7.139023382293429,2.6032681342078328,0.1958102695576259,3.662371535124649,1.4184127646732636,1.5699351802880452,0.5307412482567632,2.9605753650497952,-0.0481045360939803,0.0082644736795022
45,99738334,0.63391,0.959123754844231,0.4185838163233723,0.4185838163233723,0.6116725719506656,7.7197743984490845,3.15056195708297,0.2058290494733247,4.210629060765672,2.6307542999182925,0.768207305277441,0.0623267215182635,5.164955823411752,-0.0390437804109747,-0.03762109150809
46,135417829,0.40628,0.9588867628147634,0.8332981769674673,0.8332981769674673,0.6119095639801332,9.925405494004854,2.7702085335990887,0.1705898943675886,4.3936523551669495,1.4038123598087962,1.42953943816998,0.3245995448187875,1.345101739190933,0.0257718281934352,0.0497369954016054
47,191128659,0.72216,1.1429410129701387,0.7093429248920584,0.7093429248920584,0.4278553138247578,5.904440158365334,3.10128224664041,0.225778667907771,3.6874683367730463,2.827537913216488,1.2973788267313942,0.2232632329426057,4.254692444585889,0.0425625066155379,-0.026258634688097
48,134251997,0.40693,1.287093614104172,0.694857417075058,0.694857417075058,0.2837027126907245,5.912334166120001,3.546076054740828,0.2343531129216352,3.9604139525950326,1.634752601144894,5.123755821094699,0.7253125222249466,2.947328486022524,0.0341578745143423,0.0082287309186725
49,135570077,0.48048,1.0856943801493149,0.7080751209593811,0.7080751209593811,0.4851019466455817,9.40428462662394,2.8501685555536143,0.1784877584163546,4.357716753307503,1.234369996064707,4.308815873417224,0.8968664382977882,4.802618350741293,-0.0214750360050131,-0.0153553160656475
50,193430680,1.19066,0.7711209452909559,0.7048569257694011,0.7048569257694011,0.7996753815039407,7.532842009910435,2.74478775395658,0.1957409485785796,3.862797858795398,1.6326775025918538,0.2963991934943675,0.1243879836032884,4.107175655804248,0.0281663813450826,0.0187109283459259
